Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,summarization,568,0,34000,34519.58845262568,25293.919106945395,45865.25841103867,930.2235915492957,0.949900570023873,0.0,34000,35000,36000,37000,38000,40000,41000,43000,46000,46000,46000
,Aggregated,568,0,34000,34519.58845262568,25293.919106945395,45865.25841103867,930.2235915492957,0.949900570023873,0.0,34000,35000,36000,37000,38000,40000,41000,43000,46000,46000,46000
