Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,agentic_turn_1,227,0,20000,21501.413861818874,164.58083898760378,64634.68913896941,774.3348017621146,0.18933875683253337,0.0,20000,27000,31000,33000,44000,48000,54000,58000,65000,65000,65000
POST,agentic_turn_2,221,0,17000,19035.017145479444,1319.9864148627967,56733.688921900466,771.5927601809955,0.18433420819378799,0.0,17000,25000,27000,30000,39000,45000,53000,55000,57000,57000,57000
POST,agentic_turn_3,218,0,18000,20794.007824054584,1433.6033461149782,63687.057815957814,771.7614678899082,0.1818319338744153,0.0,18000,26000,31000,34000,43000,48000,56000,57000,64000,64000,64000
,Aggregated,666,0,18000,20451.431593735346,164.58083898760378,64634.68913896941,772.5825825825826,0.5555048989007366,0.0,18000,26000,30000,32000,43000,47000,54000,57000,65000,65000,65000
