Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787731776,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787731777,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787731778,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787731779,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787731780,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787731781,25,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787731782,30,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787731783,30,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787731784,30,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787731785,30,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787731786,30,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787731787,30,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787731788,30,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787731789,30,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787731790,30,,Aggregated,0.000000,0.000000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,1,0,13209.936237195507,13209.936237195507,13209.936237195507,13209.936237195507,1677.0
1787731791,30,,Aggregated,0.000000,0.000000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,2,0,13209.936237195507,13278.523578075692,13209.936237195507,13347.110918955877,1714.5
1787731792,30,,Aggregated,0.100000,0.000000,13000,13000,14000,14000,14000,14000,14000,14000,14000,14000,14000,3,0,13209.936237195507,13522.44069473818,13209.936237195507,14010.274928063154,1736.3333333333333
1787731793,30,,Aggregated,0.200000,0.000000,14000,14000,14000,15000,15000,15000,15000,15000,15000,15000,15000,5,0,14000,13950.942593021318,13209.936237195507,14773.178399074823,1736.0
1787731794,30,,Aggregated,0.200000,0.000000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,8,0,14000,14282.399082556367,13209.936237195507,15177.822754951194,1761.75
1787731795,30,,Aggregated,0.400000,0.000000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,11,0,15000,14431.00584548136,13209.936237195507,15177.822754951194,1762.8181818181818
1787731796,30,,Aggregated,0.700000,0.000000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,13,0,15000,14489.577426413935,13209.936237195507,15177.822754951194,1760.2307692307693
1787731797,30,,Aggregated,1.000000,0.000000,15000,15000,15000,15000,15000,16000,16000,16000,16000,16000,16000,15,0,15000,14636.26533128942,13209.936237195507,15834.833448054269,1773.5333333333333
1787731798,30,,Aggregated,1.200000,0.000000,15000,15000,15000,15000,16000,16000,16000,16000,16000,16000,16000,17,0,15000,14786.394148243262,13209.936237195507,16217.186694964767,1777.6470588235295
1787731799,30,,Aggregated,1.200000,0.000000,15000,15000,16000,16000,16000,16000,16000,16000,16000,16000,16000,19,0,15000,14901.245400223783,13209.936237195507,16217.186694964767,1776.8947368421052
1787731800,30,,Aggregated,1.600000,0.000000,15000,15000,16000,16000,16000,17000,17000,17000,17000,17000,17000,21,0,15000,15071.526967199698,13209.936237195507,16861.055477987975,1787.142857142857
1787731801,30,,Aggregated,1.600000,0.000000,15000,15000,16000,16000,17000,17000,17000,17000,17000,17000,17000,24,0,15000,15148.27847952256,13209.936237195507,17081.132097169757,1794.2083333333333
1787731802,30,,Aggregated,1.900000,0.000000,15000,15000,16000,16000,17000,17000,17000,17000,17000,17000,17000,27,0,15000,14978.572505457258,13175.279007991776,17081.132097169757,1797.2222222222222
1787731803,30,,Aggregated,2.200000,0.000000,15000,15000,16000,16000,17000,17000,17000,17000,17000,17000,17000,28,0,15000,14899.386405046764,12761.361693963408,17081.132097169757,1793.3214285714287
1787731804,30,,Aggregated,2.200000,0.000000,15000,15000,16000,16000,17000,17000,17000,17000,17000,17000,17000,29,0,15000,14829.191098318854,12761.361693963408,17081.132097169757,1791.344827586207
1787731805,30,,Aggregated,2.200000,0.000000,15000,15000,16000,16000,17000,17000,17000,17000,17000,17000,17000,29,0,15000,14829.191098318854,12761.361693963408,17081.132097169757,1791.344827586207
1787731806,30,,Aggregated,2.200000,0.000000,15000,15000,16000,16000,17000,17000,17000,17000,17000,17000,17000,29,0,15000,14829.191098318854,12761.361693963408,17081.132097169757,1791.344827586207
1787731807,30,,Aggregated,2.200000,0.000000,15000,15000,16000,16000,17000,17000,17000,17000,17000,17000,17000,30,0,15000,14778.582939342596,12761.361693963408,17081.132097169757,1792.9666666666667
1787731808,30,,Aggregated,1.900000,0.000000,15000,15000,16000,16000,16000,17000,17000,17000,17000,17000,17000,31,0,15000,14729.785548237664,12761.361693963408,17081.132097169757,1791.4193548387098
1787731809,30,,Aggregated,1.700000,0.000000,15000,15000,16000,16000,16000,17000,17000,17000,17000,17000,17000,32,0,15000,14694.280330732,12761.361693963408,17081.132097169757,1789.375
1787731810,30,,Aggregated,1.600000,0.000000,15000,15000,15000,16000,16000,17000,17000,17000,17000,17000,17000,34,0,15000,14638.704774011036,12761.361693963408,17081.132097169757,1791.3823529411766
1787731811,30,,Aggregated,1.500000,0.000000,15000,15000,15000,16000,16000,17000,17000,17000,17000,17000,17000,35,0,15000,14601.688777548927,12761.361693963408,17081.132097169757,1790.9142857142858
1787731812,30,,Aggregated,1.300000,0.000000,15000,15000,15000,16000,16000,17000,17000,17000,17000,17000,17000,37,0,15000,14536.007979790353,12761.361693963408,17081.132097169757,1789.1891891891892
1787731813,30,,Aggregated,1.100000,0.000000,15000,15000,15000,16000,16000,17000,17000,17000,17000,17000,17000,39,0,15000,14478.815620699419,12761.361693963408,17081.132097169757,1783.076923076923
1787731814,30,,Aggregated,1.100000,0.000000,15000,15000,15000,16000,16000,17000,17000,17000,17000,17000,17000,40,0,14000,14452.728444105014,12761.361693963408,17081.132097169757,1780.575
