Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787724843,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787724844,5,,Aggregated,0.000000,0.000000,300,300,300,300,300,300,300,300,300,300,300,1,0,300.9367829654366,300.9367829654366,300.9367829654366,300.9367829654366,1675.0
1787724845,10,,Aggregated,0.000000,0.000000,780,780,890,890,890,890,890,890,890,890,890,3,0,780,655.6008345602701,300.9367829654366,886.644743848592,1716.3333333333333
1787724846,15,,Aggregated,1.000000,0.000000,320,320,780,780,890,890,890,890,890,890,890,6,0,300,476.80906171444803,285.622889874503,886.644743848592,1720.8333333333333
1787724847,20,,Aggregated,0.500000,0.000000,320,770,780,780,890,890,890,890,890,890,890,7,0,320,518.4872381921325,285.622889874503,886.644743848592,1718.142857142857
1787724848,25,,Aggregated,0.500000,0.000000,770,780,890,890,1100,1100,1100,1100,1100,1100,1100,8,0,320,586.7249318107497,285.622889874503,1064.3887871410698,1724.75
1787724849,30,,Aggregated,1.500000,0.000000,780,890,1100,2000,2000,2000,2000,2000,2000,2000,2000,10,0,770,870.0742448680103,285.622889874503,2047.019753139466,1720.6
1787724850,30,,Aggregated,1.600000,0.000000,890,1100,2000,2000,2300,2800,2800,2800,2800,2800,2800,12,0,780,1155.6046453188173,285.622889874503,2837.471088161692,1724.3333333333333
1787724851,30,,Aggregated,1.500000,0.000000,1100,2000,2300,2800,3200,3200,3200,3200,3200,3200,3200,14,0,890,1452.4912659877114,285.622889874503,3244.161234004423,1721.2857142857142
1787724852,30,,Aggregated,1.571429,0.000000,2000,2800,3200,3200,3500,3700,3700,3700,3700,3700,3700,17,0,2000,1825.2378830083592,285.622889874503,3672.5241751410067,1729.3529411764705
1787724853,30,,Aggregated,1.625000,0.000000,2000,3200,3400,3500,3500,3700,3700,3700,3700,3700,3700,19,0,2000,1996.912722635132,285.622889874503,3672.5241751410067,1728.6842105263158
1787724854,30,,Aggregated,1.777778,0.000000,2300,3200,3400,3500,3500,3700,3700,3700,3700,3700,3700,21,0,2300,2145.5346486708595,285.622889874503,3712.0193659793586,1728.857142857143
1787724855,30,,Aggregated,1.800000,0.000000,3200,3400,3500,3700,3800,4200,4300,4300,4300,4300,4300,24,0,2800,2390.4000951636895,285.622889874503,4322.935348842293,1726.2083333333333
1787724856,30,,Aggregated,1.900000,0.000000,3200,3500,3500,3700,3900,4200,4300,4300,4300,4300,4300,25,0,3200,2450.9763098787516,285.622889874503,4322.935348842293,1724.16
1787724857,30,,Aggregated,1.900000,0.000000,3200,3500,3700,3800,4200,4300,4400,4400,4400,4400,4400,27,0,3200,2581.9607103002018,285.622889874503,4417.992500122637,1724.0740740740741
1787724858,30,,Aggregated,1.900000,0.000000,3400,3500,3800,4000,4300,4400,4900,4900,4900,4900,4900,30,0,3200,2736.759733633759,285.622889874503,4893.783713923767,1726.9
1787724859,30,,Aggregated,2.100000,0.000000,3400,3700,3800,3900,4300,4400,4900,4900,4900,4900,4900,32,0,3400,2792.5335741892923,285.622889874503,4893.783713923767,1727.5
1787724860,30,,Aggregated,2.100000,0.000000,3500,3700,3900,4100,4300,4600,4900,4900,4900,4900,4900,34,0,3400,2884.2325684724046,285.622889874503,4893.783713923767,1727.235294117647
1787724861,30,,Aggregated,2.200000,0.000000,3500,3700,4000,4100,4400,4900,14000,14000,14000,14000,14000,36,0,3500,3208.143144529054,285.622889874503,13688.09130601585,1727.888888888889
