Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787732677,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787732678,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787732679,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787732680,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787732681,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787732682,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787732683,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787732684,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787732685,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787732686,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787732687,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787732688,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787732689,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787732690,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787732691,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787732692,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787732693,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787732694,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787732695,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787732696,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787732697,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787732698,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787732699,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787732700,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787732701,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787732702,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787732703,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787732704,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787732705,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787732706,15,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787732707,15,,Aggregated,0.000000,0.000000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,3,0,29759.119302034378,29548.24401640023,29211.994015146047,29759.119302034378,740.0
1787732708,15,,Aggregated,0.000000,0.000000,28000,29000,30000,30000,30000,30000,30000,30000,30000,30000,30000,7,0,28000,26679.475586927896,17824.523858958855,29759.119302034378,689.0
1787732709,15,,Aggregated,0.000000,0.000000,29000,30000,30000,32000,32000,32000,32000,32000,32000,32000,32000,9,0,29000,27844.853293383494,17824.523858958855,31942.863546079025,699.4444444444445
1787732710,15,,Aggregated,0.300000,0.000000,29000,30000,31000,31000,32000,32000,32000,32000,32000,32000,32000,14,0,28000,27116.83269847916,11946.46475999616,31942.863546079025,713.2142857142857
1787732711,15,,Aggregated,0.700000,0.000000,28000,30000,31000,31000,32000,32000,32000,32000,32000,32000,32000,15,0,28000,25401.379253917064,1385.031030047685,31942.863546079025,706.5333333333333
1787732712,15,,Aggregated,0.900000,0.000000,28000,30000,30000,31000,32000,32000,32000,32000,32000,32000,32000,17,0,28000,22722.31777257505,1385.031030047685,31942.863546079025,706.1764705882352
1787732713,15,,Aggregated,1.500000,0.000000,27000,28000,30000,30000,31000,32000,32000,32000,32000,32000,32000,21,0,27000,18712.236041979242,164.58083898760378,31942.863546079025,703.0952380952381
1787732714,15,,Aggregated,1.500000,0.000000,27000,28000,30000,30000,31000,32000,32000,32000,32000,32000,32000,22,0,26000,17922.600894065745,164.58083898760378,31942.863546079025,698.8181818181819
1787732715,15,,Aggregated,1.700000,0.000000,26000,28000,30000,30000,31000,32000,32000,32000,32000,32000,32000,23,0,26000,17301.941337671295,164.58083898760378,31942.863546079025,703.1304347826087
1787732716,15,,Aggregated,2.000000,0.000000,18000,28000,29000,30000,31000,32000,32000,32000,32000,32000,32000,26,0,12000,15516.07949913551,164.58083898760378,31942.863546079025,692.2692307692307
1787732717,15,,Aggregated,2.200000,0.000000,12000,27000,29000,30000,31000,32000,32000,32000,32000,32000,32000,27,0,12000,14990.298273792076,164.58083898760378,31942.863546079025,689.3333333333334
1787732718,15,,Aggregated,2.200000,0.000000,12000,27000,29000,30000,31000,32000,32000,32000,32000,32000,32000,27,0,12000,14990.298273792076,164.58083898760378,31942.863546079025,689.3333333333334
1787732719,15,,Aggregated,2.600000,0.000000,4400,27000,28000,30000,31000,32000,32000,32000,32000,32000,32000,30,0,3700,13771.747271243172,164.58083898760378,31942.863546079025,687.7333333333333
1787732720,15,,Aggregated,2.400000,0.000000,3700,27000,28000,29000,31000,32000,32000,32000,32000,32000,32000,32,0,3600,13018.392699006654,164.58083898760378,31942.863546079025,682.8125
1787732721,15,,Aggregated,2.100000,0.000000,3600,18000,28000,28000,31000,32000,32000,32000,32000,32000,32000,36,0,3600,11823.575636035659,164.58083898760378,31942.863546079025,679.9722222222222
1787732722,15,,Aggregated,2.100000,0.000000,3600,18000,27000,28000,31000,32000,32000,32000,32000,32000,32000,37,0,3600,11607.984353523903,164.58083898760378,31942.863546079025,683.1621621621622
1787732723,15,,Aggregated,1.800000,0.000000,3600,18000,27000,28000,31000,32000,32000,32000,32000,32000,32000,38,0,3600,11343.123949034825,164.58083898760378,31942.863546079025,681.2105263157895
1787732724,15,,Aggregated,1.800000,0.000000,3600,18000,27000,28000,31000,32000,32000,32000,32000,32000,32000,38,0,3600,11343.123949034825,164.58083898760378,31942.863546079025,681.2105263157895
1787732725,15,,Aggregated,2.000000,0.000000,3600,12000,27000,28000,31000,32000,32000,32000,32000,32000,32000,39,0,3600,11105.184464548262,164.58083898760378,31942.863546079025,679.3589743589744
1787732726,15,,Aggregated,1.600000,0.000000,2900,4400,27000,28000,30000,31000,32000,32000,32000,32000,32000,42,0,2900,10506.150237489714,164.58083898760378,31942.863546079025,674.4285714285714
1787732727,15,,Aggregated,1.600000,0.000000,2900,4700,26000,27000,30000,31000,32000,32000,32000,32000,32000,46,0,2900,9878.723765298239,164.58083898760378,31942.863546079025,677.3913043478261
1787732728,15,,Aggregated,1.400000,0.000000,2900,4700,18000,27000,30000,31000,32000,32000,32000,32000,32000,49,0,2900,9509.875006398794,164.58083898760378,31942.863546079025,681.3265306122449
1787732729,15,,Aggregated,1.400000,0.000000,3500,4700,18000,27000,30000,31000,32000,32000,32000,32000,32000,51,0,3500,9307.797908796654,164.58083898760378,31942.863546079025,686.2941176470588
1787732730,15,,Aggregated,1.900000,0.000000,3500,4700,18000,27000,30000,31000,32000,32000,32000,32000,32000,52,0,2900,9176.550336876131,164.58083898760378,31942.863546079025,686.0769230769231
1787732731,15,,Aggregated,2.100000,0.000000,2900,4700,12000,27000,30000,31000,32000,32000,32000,32000,32000,53,0,2900,9037.082132764757,164.58083898760378,31942.863546079025,684.622641509434
1787732732,15,,Aggregated,2.100000,0.000000,2900,4700,12000,27000,30000,31000,32000,32000,32000,32000,32000,54,0,2900,8904.831945991005,164.58083898760378,31942.863546079025,683.2222222222222
1787732733,15,,Aggregated,2.100000,0.000000,2900,4700,12000,27000,30000,31000,32000,32000,32000,32000,32000,54,0,2900,8904.831945991005,164.58083898760378,31942.863546079025,683.2222222222222
1787732734,15,,Aggregated,1.800000,0.000000,2900,4400,12000,26000,30000,31000,32000,32000,32000,32000,32000,56,0,2900,8680.53216125866,164.58083898760378,31942.863546079025,681.6607142857143
1787732735,15,,Aggregated,1.600000,0.000000,2900,4400,5300,26000,30000,31000,32000,32000,32000,32000,32000,60,0,2500,8275.000342276568,164.58083898760378,31942.863546079025,680.1666666666666
