Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,qa,409,0,14000,15191.723202724661,12646.14967792295,24639.943971065804,1803.002444987775,1.3677296894794015,0.0,14000,15000,15000,16000,21000,22000,23000,24000,25000,25000,25000
,Aggregated,409,0,14000,15191.723202724661,12646.14967792295,24639.943971065804,1803.002444987775,1.3677296894794015,0.0,14000,15000,15000,16000,21000,22000,23000,24000,25000,25000,25000
